node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,54.200,46.326,5.159,3.312,52.487,0.026
,,,enabled,52.122,44.273,5.844,5.998,7217.639,0.807
